exercice,exercice_debut,rapport,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,11,5,P03L11C05,13.0,13.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,11,5,P03L11C05,20.0,20.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,11,5,P03L11C05,23.0,23.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,08,16366114,CENTRE NORMAND,03,,11,5,P03L11C05,3.0,3.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,11,5,P03L11C05,36.0,36.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,11,6,P03L11C06,180.0,180.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,11,6,P03L11C06,352.0,352.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,12,1,P03L12C01,1.0,1.0,P03L12C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,11,6,P03L11C06,462.0,462.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,12,1,P03L12C01,1.0,1.0,P03L12C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,11,6,P03L11C06,104.0,104.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,11,6,P03L11C06,69.0,69.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,11,6,P03L11C06,422.0,422.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,11,6,P03L11C06,187.0,187.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,11,6,P03L11C06,232.0,232.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,11,6,P03L11C06,274.0,274.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,11,6,P03L11C06,166.0,166.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,11,6,P03L11C06,262.0,262.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,11,6,P03L11C06,224.0,224.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,08,16366114,CENTRE NORMAND,03,,11,6,P03L11C06,93.0,93.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,13,3,P03L13C03,22.0,22.0,P03L13C03,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,09,11042819,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,03,,11,6,P03L11C06,48.0,48.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,03,11042777,CENTRE DE READAPTATION EN DEPENDANCE DE QUEBEC,03,,15,2,P03L15C02,1.0,1.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,14,6,P03L14C06,45.0,45.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,14,6,P03L14C06,38.0,38.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,08,16366114,CENTRE NORMAND,03,,14,6,P03L14C06,8.0,8.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,14,6,P03L14C06,73.0,73.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,09,11042819,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,03,,15,3,P03L15C03,1.0,1.0,P03L15C03,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,15,2,P03L15C02,0.0,0.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,14,6,P03L14C06,39.0,39.0,P03L14C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,15,2,P03L15C02,1.0,1.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,15,2,P03L15C02,1.0,1.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,15,2,P03L15C02,0.0,0.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,15,2,P03L15C02,2.0,2.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,15,2,P03L15C02,1.0,1.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,15,2,P03L15C02,2.0,2.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,15,2,P03L15C02,1.0,1.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,15,2,P03L15C02,0.0,0.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,15,2,P03L15C02,2.0,2.0,P03L15C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,13,11042405,CENTRE JEUNESSE DE LAVAL,03,,15,3,P03L15C03,4.0,4.0,P03L15C03,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,14,4,P03L14C04,19.0,19.0,P03L14C04,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,15,1,P03L15C01,0.0,0.0,P03L15C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,15,16273500,CENTRE DE READAPTATION EN DEPENDANCE DES LAURENTIDES,03,,14,5,P03L14C05,4.0,4.0,P03L14C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,13,3,P03L13C03,16.0,16.0,P03L13C03,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
