exercice,exercice_debut,rapport,sous_formulaire,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille,feuille,col_index,entete,mapping
2010-2011,2010,Général,AS480G,14,,LES CENTRES JEUNESSE DE LANAUDIERE,05,,01,06,P05L01C06,757.0,757.0,P05L01C06,P05L01,P05L01,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,14,,LES CENTRES JEUNESSE DE LANAUDIERE,05,,01,07,P05L01C07,3.0,3.0,P05L01C07,P05L01,P05L01,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,14,,LES CENTRES JEUNESSE DE LANAUDIERE,05,,01,08,P05L01C08,10.0,10.0,P05L01C08,P05L01,P05L01,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,01,P05L01C01,49.0,49.0,P05L01C01,P05L01,P05L01,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,02,P05L01C02,0.0,0.0,P05L01C02,P05L01,P05L01,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,03,P05L01C03,667.0,667.0,P05L01C03,P05L01,P05L01,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,04,P05L01C04,564.0,564.0,P05L01C04,P05L01,P05L01,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,05,P05L01C05,0.0,0.0,P05L01C05,P05L01,P05L01,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,06,P05L01C06,1280.0,1280.0,P05L01C06,P05L01,P05L01,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,07,P05L01C07,4.0,4.0,P05L01C07,P05L01,P05L01,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,15,,CENTRE JEUNESSE DES LAURENTIDES,05,,01,08,P05L01C08,11.0,11.0,P05L01C08,P05L01,P05L01,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,01,P05L01C01,78.0,78.0,P05L01C01,P05L01,P05L01,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,02,P05L01C02,0.0,0.0,P05L01C02,P05L01,P05L01,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,03,P05L01C03,9.0,9.0,P05L01C03,P05L01,P05L01,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,04,P05L01C04,0.0,0.0,P05L01C04,P05L01,P05L01,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,05,P05L01C05,78.0,78.0,P05L01C05,P05L01,P05L01,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,06,P05L01C06,165.0,165.0,P05L01C06,P05L01,P05L01,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,07,P05L01C07,2.0,2.0,P05L01C07,P05L01,P05L01,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,16,,CENTRE JEUNESSE DE LA MONTEREGIE,05,,01,08,P05L01C08,22.0,22.0,P05L01C08,P05L01,P05L01,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,01,P05L01C01,0.0,0.0,P05L01C01,P05L01,P05L01,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,02,P05L01C02,0.0,0.0,P05L01C02,P05L01,P05L01,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,03,P05L01C03,0.0,0.0,P05L01C03,P05L01,P05L01,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,04,P05L01C04,0.0,0.0,P05L01C04,P05L01,P05L01,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,05,P05L01C05,0.0,0.0,P05L01C05,P05L01,P05L01,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,06,P05L01C06,0.0,0.0,P05L01C06,P05L01,P05L01,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,07,P05L01C07,0.0,0.0,P05L01C07,P05L01,P05L01,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,17,,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,05,,01,08,P05L01C08,0.0,0.0,P05L01C08,P05L01,P05L01,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,01,P05L01C01,0.0,0.0,P05L01C01,P05L01,P05L01,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,02,P05L01C02,0.0,0.0,P05L01C02,P05L01,P05L01,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,03,P05L01C03,0.0,0.0,P05L01C03,P05L01,P05L01,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,04,P05L01C04,0.0,0.0,P05L01C04,P05L01,P05L01,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,05,P05L01C05,0.0,0.0,P05L01C05,P05L01,P05L01,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,06,P05L01C06,0.0,0.0,P05L01C06,P05L01,P05L01,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,07,P05L01C07,0.0,0.0,P05L01C07,P05L01,P05L01,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,18,,CONSEIL CRI DE LA SANTE ET SERV. SOC. DE LA BAIE-JAMES,05,,01,08,P05L01C08,0.0,0.0,P05L01C08,P05L01,P05L01,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,05,,02,08,P05L02C08,2.0,2.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,01,P05L02C01,23790.0,23790.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,02,P05L02C02,1579.0,1579.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,03,P05L02C03,5103.0,5103.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,04,P05L02C04,127956.0,127956.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,06,P05L02C06,158428.0,158428.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,07,P05L02C07,786.0,786.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,05,,02,08,P05L02C08,4259.0,4259.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,01,P05L02C01,153.0,153.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,02,P05L02C02,24.0,24.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,04,P05L02C04,1278.0,1278.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,06,P05L02C06,1455.0,1455.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,07,P05L02C07,9.0,9.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,05,,02,08,P05L02C08,64.0,64.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,01,P05L02C01,5.0,5.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,03,P05L02C03,29.0,29.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,04,P05L02C04,2343.0,2343.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,06,P05L02C06,2377.0,2377.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,07,P05L02C07,10.0,10.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,05,,02,08,P05L02C08,26.0,26.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,05,,02,08,P05L02C08,4.0,4.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,05,,02,08,P05L02C08,0.0,0.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,01,P05L02C01,3.0,3.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,04,P05L02C04,82.0,82.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,06,P05L02C06,85.0,85.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,07,P05L02C07,1.0,1.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,05,,02,08,P05L02C08,3.0,3.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),05,,02,08,P05L02C08,0.0,0.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,01,P05L02C01,293.0,293.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,04,P05L02C04,306.0,306.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,06,P05L02C06,599.0,599.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,07,P05L02C07,4.0,4.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,05,,02,08,P05L02C08,22.0,22.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,05,,02,08,P05L02C08,0.0,0.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,01,P05L02C01,19.0,19.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,02,P05L02C02,17.0,17.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,04,P05L02C04,148.0,148.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,05,P05L02C05,365.0,365.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,06,P05L02C06,549.0,549.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,07,P05L02C07,3.0,3.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,05,,02,08,P05L02C08,9.0,9.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,01,P05L02C01,0.0,0.0,P05L02C01,P05L02,P05L02,1,Unité de vie,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,02,P05L02C02,0.0,0.0,P05L02C02,P05L02,P05L02,2,Foyer de groupe,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,03,P05L02C03,0.0,0.0,P05L02C03,P05L02,P05L02,3,RI,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,04,P05L02C04,0.0,0.0,P05L02C04,P05L02,P05L02,4,RTF,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,05,P05L02C05,0.0,0.0,P05L02C05,P05L02,P05L02,5,Autres RNI,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,06,P05L02C06,0.0,0.0,P05L02C06,P05L02,P05L02,6,Grand total,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,07,P05L02C07,0.0,0.0,P05L02C07,P05L02,P05L02,7,Hébergés,ligne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,05,,02,08,P05L02C08,2.0,2.0,P05L02C08,P05L02,P05L02,8,Ayant fait l'objet d'une intervention,ligne_fixe
