famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
AS484,AS-484-2010-11-FORMULAIRE.pdf,Archives/AS484/2010-2011/AS-484-2010-11-FORMULAIRE.pdf,2010-2011,pdf,338.6,,
AS484,AS-484-2011-12-BD.csv,Archives/AS484/2011-2012/AS-484-2011-12-BD.csv,2011-2012,csv,4436.5,lignes,19657
AS484,AS-484-2011-12-EXPLICATIONS.pdf,Archives/AS484/2011-2012/AS-484-2011-12-EXPLICATIONS.pdf,2011-2012,pdf,133.5,,
AS484,AS-484-2011-12-FORMULAIRE.pdf,Archives/AS484/2011-2012/AS-484-2011-12-FORMULAIRE.pdf,2011-2012,pdf,340.3,,
AS484,AS-484-2012-13-BD.csv,Archives/AS484/2012-2013/AS-484-2012-13-BD.csv,2012-2013,csv,3794.7,lignes,16798
AS484,AS-484-2012-13-EXPLICATIONS.pdf,Archives/AS484/2012-2013/AS-484-2012-13-EXPLICATIONS.pdf,2012-2013,pdf,129.3,,
AS484,AS-484-2012-13-FORMULAIRE.pdf,Archives/AS484/2012-2013/AS-484-2012-13-FORMULAIRE.pdf,2012-2013,pdf,1144.1,,
AS484,AS-484-2013-14-BD.zip,Archives/AS484/2013-2014/AS-484-2013-14-BD.zip,2013-2014,zip,464.2,membres,1
AS484,AS-484-2013-14-EXPLICATIONS.pdf,Archives/AS484/2013-2014/AS-484-2013-14-EXPLICATIONS.pdf,2013-2014,pdf,138.1,,
AS484,AS-484-2013-14-FORMULAIRE.pdf,Archives/AS484/2013-2014/AS-484-2013-14-FORMULAIRE.pdf,2013-2014,pdf,1451.2,,
AS484,AS-484-2014-15-BD.zip,Archives/AS484/2014-2015/AS-484-2014-15-BD.zip,2014-2015,zip,214.8,membres,1
AS484,AS-484-2014-15-EXPLICATIONS.pdf,Archives/AS484/2014-2015/AS-484-2014-15-EXPLICATIONS.pdf,2014-2015,pdf,257.3,,
AS484,AS-484-2014-15-FORMULAIRE.pdf,Archives/AS484/2014-2015/AS-484-2014-15-FORMULAIRE.pdf,2014-2015,pdf,2995.1,,
AS484,AS-484_2015-2016_11042900.pdf,Archives/AS484/2015-2016/AS-484_2015-2016_11042900.pdf,2015-2016,pdf,1009.2,,
AS484,AS484_BD_2015_2016.zip,Archives/AS484/2015-2016/AS484_BD_2015_2016.zip,2015-2016,zip,280.9,membres,1
AS484,AS-484_2016-2017_12694659.pdf,Archives/AS484/2016-2017/AS-484_2016-2017_12694659.pdf,2016-2017,pdf,801.4,,
AS484,AS484_BD_2016_2017.zip,Archives/AS484/2016-2017/AS484_BD_2016_2017.zip,2016-2017,zip,276.9,membres,1
AS484,AS-484_2017-2018_11043833.pdf,Archives/AS484/2017-2018/AS-484_2017-2018_11043833.pdf,2017-2018,pdf,954.7,,
